id,tema,afirmacao,numero,fonte,url,data_fonte,confianca,uso_sugerido
F020,roi,Organizacoes com agente rodando em producao,31%,S&P Global Market Intelligence,https://www.spglobal.com,2026,B,Contraste com adocao declarada
F021,roi,Pilotos de agente que nunca chegam a producao,88%,Compilacao de dados empresariais 2026,https://www.digitalapplied.com/blog/ai-agent-adoption-2026-enterprise-data-points,2026,C,Pista de pesquisa. Nao publicar sem confirmar
F022,ranking,Topo do Artificial Analysis Intelligence Index,"Claude Fable 5.1 max, 66",Artificial Analysis,https://artificialanalysis.ai/leaderboards/models,2026-09-02,A,Sempre datar a citacao
F023,ranking,Custo por tarefa no topo do Intelligence Index,"US$ 1,43 a US$ 3,69",Artificial Analysis,https://artificialanalysis.ai/leaderboards/models,2026-09-02,A,Argumento sobre esforco de raciocinio como variavel de projeto
F024,ranking,Topo do Arena Elo de texto,"claude-fable-5, 1508 +/- 5",Arena,https://arena.ai/leaderboard/text,2026-09-02,A,Citar com intervalo de confianca
F025,ranking,Modelos avaliados e votos no Arena de texto,"398 modelos, ~8 mi de votos",Arena,https://arena.ai/leaderboard/text,2026-09-02,A,Credibilidade da fonte
F026,ranking,Lider do Arena leaderboard de agentes,"Claude Opus 5, 13,74%",Arena,https://arena.ai/leaderboard,2026-09-02,A,Eixo agentico separado do conversacional
F027,ranking,Ritmo de avanco da fronteira no Epoch Capabilities Index,de ~8 para ~15 pontos por ano,Epoch AI,https://epoch.ai/eci,2026,B,Argumento de aceleracao. Virada em abril de 2024
F028,aberto,Distancia entre melhor aberto e melhor proprietario no Intelligence Index,"3,4 pontos",Artificial Analysis,https://artificialanalysis.ai,2026,B,Tese de commoditizacao do modelo
F029,aberto,"Distancia em Coding Index, aberto contra proprietario","2,1 pontos",Artificial Analysis,https://artificialanalysis.ai,2026,B,Decisao de arquitetura
F030,aberto,"Distancia em Agentic Index, aberto contra proprietario","2,1 pontos",Artificial Analysis,https://artificialanalysis.ai,2026,B,Decisao de arquitetura
F031,aberto,"Distancia no HLE, onde o gap persiste",34-36% contra 44-45%,Artificial Analysis,https://artificialanalysis.ai,2026,B,Quando aberto nao serve
F032,aberto,Atraso medio dos melhores modelos abertos contra a fronteira fechada,"4 meses, ~8 pontos no ECI",Epoch AI,https://epoch.ai/eci,2026,B,Planejamento de roadmap
F033,aberto,"Kimi K3, maior modelo aberto ja lancado","2,8 tri totais, 104 bi ativos, 896 experts, 1M contexto",Moonshot AI,https://moonshotai.github.io,2026-07-27,B,Contexto tecnico
F034,aberto,"GLM 5.2, licenca MIT, GPQA Diamond","91,2%",Zhipu AI,https://z.ai,2026,B,Opcao aberta com licenca permissiva
F035,custo,Queda anual do custo de inferencia de LLM,~10x por ano,Compilacao de analises de preco,https://arxiv.org/pdf/2603.28576,2026,C,Pista. Confirmar em serie historica primaria
F036,custo,Ritmo de queda do custo por token,"metade a cada ~2,6 meses",Compilacao de analises de preco,https://arxiv.org/pdf/2603.28576,2026,C,Pista. Confirmar antes de publicar
F037,custo,"Desempenho classe GPT-4, de ~US$ 30 por milhao de tokens em 2023",menos de US$ 1 em 2026,Compilacao de analises de preco,https://inference.net/content/llm-api-pricing-comparison/,2026,C,Pista. Confirmar antes de publicar
F038,harness,"Agente solo contra harness completo, criador de jogos",20 min e US$ 9 contra 6h e US$ 200,Anthropic Engineering,https://www.anthropic.com/engineering/harness-design-long-running-apps,2026-03-24,A,O melhor argumento contra plugar uma API
F039,harness,Aplicacao DAW com harness simplificado do Opus 4.6,"3h50 e US$ 124,70",Anthropic Engineering,https://www.anthropic.com/engineering/harness-design-long-running-apps,2026-03-24,A,Custo real de entrega agentica
F040,harness,Arquitetura de tres agentes,"planner, generator, evaluator",Anthropic Engineering,https://www.anthropic.com/engineering/harness-design-long-running-apps,2026-03-24,A,Base metodologica de entregavel
F041,harness,Agentes tendem a elogiar o proprio trabalho mesmo com qualidade mediocre,qualitativo,Anthropic Engineering,https://www.anthropic.com/engineering/harness-design-long-running-apps,2026-03-24,A,Justificar camada de validacao separada
F042,harness,Lista de features no harness de longa duracao do claude.ai,200+ features em JSON,Anthropic Engineering,https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,2025-11-26,A,Exemplo de decomposicao
F043,harness,Compactacao de contexto sozinha nao sustenta desempenho entre janelas,qualitativo,Anthropic Engineering,https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,2025-11-26,A,Justificar estado externo em arquivo
F044,mcp,Downloads mensais de SDK do Model Context Protocol,97 milhoes,Ecossistema MCP,https://blog.modelcontextprotocol.io/posts/2026-07-28/,2026-03,B,Padrao de fato virou commodity
F045,mcp,Empresas da Fortune 500 com servidores MCP implantados,28%,Compilacao de adocao MCP,https://www.digitalapplied.com/blog/mcp-adoption-statistics-2026-model-context-protocol,2026,C,Pista. Confirmar antes de publicar
F046,mcp,Projecao Gartner de aplicacoes empresariais com agentes ate o fim de 2026,40%,Gartner via cobertura setorial,https://toloka.ai/blog/the-future-of-mcp-enterprise-adoption/,2026,C,Pista. Confirmar no relatorio Gartner
F047,skills,"Custo de um skill instalado no startup, por progressive disclosure",50 a 100 tokens,"Anthropic, guia de Skills",https://agentskills.io,2026-01-29,B,Explicar por que escala sem estourar contexto
F048,skills,Custo do corpo completo de um skill quando ativado,275 a 8.000 tokens,"Anthropic, guia de Skills",https://agentskills.io,2026-01-29,B,Arquitetura de contexto
F049,skills,Agent Skills adotado como padrao aberto por multiplas ferramentas,"Cursor, Copilot, Codex, Gemini CLI",agentskills.io,https://agentskills.io,2025-12,B,"Argumento de padrao, nao de fornecedor"
F050,context,"Times com context engineering maduro, ganho de velocidade e reducao de erro","55% mais rapido, 40% menos erros",Anthropic Agentic Coding Trends Report 2026,https://www.anthropic.com,2026,B,ROI de metodo. Confirmar metodologia antes de publicar
F051,context,Uso de IA no trabalho de desenvolvedores contra delegacao total,"~60% de uso, 0 a 20% de delegacao",Anthropic Agentic Coding Trends Report 2026,https://www.anthropic.com,2026,B,Desarma cetico e entusiasta na mesma frase
F052,rag,Degradacao de desempenho quando o fato critico esta no meio da janela,20% a 50%,Literatura sobre context rot,https://redis.io/blog/top-reranking-models-rag-accuracy/,2026,B,Contexto gigante nao elimina RAG
F053,rag,Ganho de MRR ao adicionar reranker cross-encoder em conjunto dificil,5 a 15 pontos,Literatura de recuperacao 2026,https://redis.io/blog/top-reranking-models-rag-accuracy/,2026,B,Checklist de arquitetura
F054,rag,Arquitetura padrao de recuperacao em 2026,"BM25 + denso, RRF, reranker",Literatura de recuperacao 2026,https://redis.io/blog/top-reranking-models-rag-accuracy/,2026,B,Proposta tecnica
F055,rag,MTEB v2 nao e comparavel com MTEB v1,aviso metodologico,MTEB,https://huggingface.co/spaces/mteb/leaderboard,2026,B,Evitar erro de citacao
F056,evals,Amostra recomendada para calibrar um juiz de LLM,"200 a 500 casos, correlacao > 0,85",Literatura de evals 2026,https://www.evidentlyai.com/llm-guide/llm-as-a-judge,2026,B,Escopo de projeto de medicao
F057,evals,Amostragem de avaliacao em producao,"1% a 10% dos traces, 100% em CI",Literatura de evals 2026,https://arize.com/blog/how-to-build-llm-as-a-judge-evaluators-that-hold-up-in-production/,2026,B,Desenho de operacao
F058,evals,Usar familia de modelo diferente da do gerador para evitar vies de autopreferencia,regra,Literatura de evals 2026,https://deepeval.com/blog/llm-as-a-judge,2026,B,Mesma logica do evaluator apartado
F059,rlvr,Origem do termo RLVR,"Tulu 3, outono de 2024",Allen Institute for AI,https://arxiv.org/pdf/2411.15124,2024-11,B,Contexto historico de metodologia
F060,rlvr,Custo de um run individual de ablacao em RL de fronteira,10 mil a 100 mil horas de GPU,Literatura de RL 2026,https://blog.dailydoseofds.com/p/how-top-ai-labs-are-building-rl-agents,2026,C,Pista. Confirmar antes de publicar
F061,pesquisa,Fornecedores de pesquisa que embutem gen AI direto no entregavel ao cliente,67%,"GRIT Insights Practice Report 2026, Greenbook",https://www.greenbook.org/grit/insights-practice-edition,2026-06,B,Tese central para o publico de insights
F062,pesquisa,Praticantes satisfeitos com dado sintetico que ja usaram,87%,"GRIT Insights Practice Report 2026, Greenbook",https://www.greenbook.org/grit/insights-practice-edition,2026-06,B,Metade da contradicao do setor
F063,pesquisa,"Alta anual da preocupacao com qualidade de dado, com sintetico como causa principal",+40%,"GRIT Insights Practice Report 2026, Greenbook",https://www.greenbook.org/grit/insights-practice-edition,2026-06,B,A outra metade da contradicao
F064,pesquisa,Uso regular de ferramentas de deteccao de fraude no setor,70% a 88%,"GRIT Insights Practice Report 2026, Greenbook",https://www.greenbook.org/grit/insights-practice-edition,2026-06,B,Contexto de qualidade de dado
F065,pesquisa,Profissionais que veem papel significativo de insights ops,8 em 10,"GRIT Insights Practice Report 2026, Greenbook",https://www.greenbook.org/grit/insights-practice-edition,2026-06,B,Argumento para automacao de operacao
F066,pesquisa,"Os mais em risco nao sao os adotantes lentos, sao os executores eficientes sem ponto de controle",qualitativo,"GRIT Insights Practice Report 2026, Greenbook",https://www.greenbook.org/grit/insights-practice-edition,2026-06,B,Melhor tese de conteudo para o setor
F067,setor,"Tamanho da industria global de insights em 2023, alta de 8%",US$ 142 bi,ESOMAR Global Market Research Report,https://shop.esomar.org/knowledge-center/library,2024,B,Slide de tamanho de mercado
F068,setor,"Composicao da industria de insights, analytics ultrapassou pesquisa de mercado","39% analytics, 36% pesquisa, 24% reporting",ESOMAR Global Market Research Report,https://shop.esomar.org/knowledge-center/library,2024,B,Legitimacao estrutural do discurso de automacao
F069,setor,Crescimento do segmento de data analytics dentro de insights,"+16,9%",ESOMAR Global Market Research Report,https://shop.esomar.org/knowledge-center/library,2024,B,Onde o dinheiro esta indo
F070,setor,Cobertura do relatorio ESOMAR,"110+ paises, 80% da industria global",ESOMAR Global Market Research Report,https://shop.esomar.org/knowledge-center/library,2024,B,Credibilidade da fonte
F071,scraping,"Mercado de web scraping com IA em 2026, projecao de US$ 23,7 bi em 2030","US$ 10,2 bi, CAGR 23,5%",Research and Markets,https://www.researchandmarkets.com/reports/6226892/ai-driven-web-scraping-market-report,2026,C,Fornecedor do proprio setor. Tratar como tendencia
F072,scraping,"Trafego HTML gerado por bots, que superou o humano pela primeira vez","57,5%",Compilacao de estatisticas de bot 2026,https://www.digitalapplied.com/blog/ai-crawler-bot-traffic-statistics-2026-data-reference,2026,C,Pista. Confirmar em relatorio de CDN primario
F073,scraping,Participacao de scrapers no trafego global apos mitigacao de bot,"10,2%",Compilacao de estatisticas de bot 2026,https://www.browserless.io/blog/state-of-web-scraping-2026,2026,C,Pista. Confirmar antes de publicar
