data,secao,titulo,link
2025-11-04,Anthropic Engineering,Code execution with MCP: Building more efficient agents,https://www.anthropic.com/engineering/code-execution-with-mcp
2025-10-20,Anthropic Engineering,Beyond permission prompts: making Claude Code more secure and autonomous,https://www.anthropic.com/engineering/claude-code-sandboxing
2025-10-16,Anthropic Engineering,Equipping agents for the real world with Agent Skills,https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills
2025-09-29,Anthropic Engineering,Effective context engineering for AI agents,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents
2025-09-17,Anthropic Engineering,A postmortem of three recent issues,https://www.anthropic.com/engineering/a-postmortem-of-three-recent-issues
2025-09-11,Anthropic Engineering,Writing effective tools for agents — with agents,https://www.anthropic.com/engineering/writing-tools-for-agents
2025-06-26,Anthropic Engineering,Desktop Extensions: One-click MCP server installation for Claude Desktop,https://www.anthropic.com/engineering/desktop-extensions
2025-06-13,Anthropic Engineering,How we built our multi-agent research system,https://www.anthropic.com/engineering/multi-agent-research-system
2025-04-18,Anthropic Engineering,Claude Code: Best practices for agentic coding,https://www.anthropic.com/engineering/claude-code-best-practices
2025-03-20,Anthropic Engineering,The think tool: Enabling Claude to stop and think in complex tool use situations,https://www.anthropic.com/engineering/claude-think-tool
2025-01-06,Anthropic Engineering,Raising the bar on SWE-bench Verified with Claude 3.5 Sonnet,https://www.anthropic.com/engineering/swe-bench-sonnet
,Anthropic Engineering,"How we contain Claude across products As agents grow more capable, so does their potential blast radius. The engineering question is how to cap it. Here’s what we’ve learned building containment for c",https://www.anthropic.com/engineering/how-we-contain-claude
